step,time,boundary_S,replication,scenario,model,regression,span_method
1,0.02,37.16776127728764,1,A1,GBM,polynomial,fixed
2,0.04,,1,A1,GBM,polynomial,fixed
3,0.06,,1,A1,GBM,polynomial,fixed
4,0.08,,1,A1,GBM,polynomial,fixed
5,0.1,33.92304461239967,1,A1,GBM,polynomial,fixed
6,0.12,34.64051588766097,1,A1,GBM,polynomial,fixed
7,0.14,30.97139828606878,1,A1,GBM,polynomial,fixed
8,0.16,34.36706820697352,1,A1,GBM,polynomial,fixed
9,0.18,30.00859140281424,1,A1,GBM,polynomial,fixed
10,0.2,30.714409084424275,1,A1,GBM,polynomial,fixed
11,0.22,29.700473771976554,1,A1,GBM,polynomial,fixed
12,0.24,31.6234236688066,1,A1,GBM,polynomial,fixed
13,0.26,31.22196863114719,1,A1,GBM,polynomial,fixed
14,0.28,33.39104834103931,1,A1,GBM,polynomial,fixed
15,0.3,34.49860666345997,1,A1,GBM,polynomial,fixed
16,0.32,30.826899337316675,1,A1,GBM,polynomial,fixed
17,0.34,31.75307261743885,1,A1,GBM,polynomial,fixed
18,0.36,33.06706677596266,1,A1,GBM,polynomial,fixed
19,0.38,32.19447064287339,1,A1,GBM,polynomial,fixed
20,0.4,33.06188386433198,1,A1,GBM,polynomial,fixed
21,0.42,,1,A1,GBM,polynomial,fixed
22,0.44,28.11038873358149,1,A1,GBM,polynomial,fixed
23,0.46,,1,A1,GBM,polynomial,fixed
24,0.48,27.572702383509036,1,A1,GBM,polynomial,fixed
25,0.5,28.526738628256922,1,A1,GBM,polynomial,fixed
26,0.52,27.689262253189362,1,A1,GBM,polynomial,fixed
27,0.54,25.112216841919633,1,A1,GBM,polynomial,fixed
28,0.56,28.695075875587417,1,A1,GBM,polynomial,fixed
29,0.58,26.99882848503617,1,A1,GBM,polynomial,fixed
30,0.6,29.026587043586172,1,A1,GBM,polynomial,fixed
31,0.62,29.081327901022092,1,A1,GBM,polynomial,fixed
32,0.64,36.28351801870835,1,A1,GBM,polynomial,fixed
33,0.66,27.07956190680166,1,A1,GBM,polynomial,fixed
34,0.68,29.101721795119484,1,A1,GBM,polynomial,fixed
35,0.7000000000000001,28.20996650519345,1,A1,GBM,polynomial,fixed
36,0.72,27.91969251650685,1,A1,GBM,polynomial,fixed
37,0.74,25.559728308010204,1,A1,GBM,polynomial,fixed
38,0.76,30.99284294991725,1,A1,GBM,polynomial,fixed
39,0.78,30.024115494156963,1,A1,GBM,polynomial,fixed
40,0.8,30.388408796165557,1,A1,GBM,polynomial,fixed
41,0.8200000000000001,25.28311028764036,1,A1,GBM,polynomial,fixed
42,0.84,24.311204151783436,1,A1,GBM,polynomial,fixed
43,0.86,23.510172951086975,1,A1,GBM,polynomial,fixed
44,0.88,22.587857243290976,1,A1,GBM,polynomial,fixed
45,0.9,24.15918717370106,1,A1,GBM,polynomial,fixed
46,0.92,29.662527737092653,1,A1,GBM,polynomial,fixed
47,0.9400000000000001,25.206730449493982,1,A1,GBM,polynomial,fixed
48,0.96,26.030948765167683,1,A1,GBM,polynomial,fixed
49,0.98,21.52376456323482,1,A1,GBM,polynomial,fixed
1,0.02,36.994715411184146,1,A2,Jump-diffusion,polynomial,fixed
2,0.04,27.213019957386965,1,A2,Jump-diffusion,polynomial,fixed
3,0.06,26.985821537040056,1,A2,Jump-diffusion,polynomial,fixed
4,0.08,,1,A2,Jump-diffusion,polynomial,fixed
5,0.1,33.93608775730808,1,A2,Jump-diffusion,polynomial,fixed
6,0.12,27.56271105401587,1,A2,Jump-diffusion,polynomial,fixed
7,0.14,23.342811850787815,1,A2,Jump-diffusion,polynomial,fixed
8,0.16,34.14017621218476,1,A2,Jump-diffusion,polynomial,fixed
9,0.18,24.208822595798075,1,A2,Jump-diffusion,polynomial,fixed
10,0.2,34.570999312851384,1,A2,Jump-diffusion,polynomial,fixed
11,0.22,25.164193720467235,1,A2,Jump-diffusion,polynomial,fixed
12,0.24,28.792892013647073,1,A2,Jump-diffusion,polynomial,fixed
13,0.26,28.177341183754827,1,A2,Jump-diffusion,polynomial,fixed
14,0.28,30.542691747161417,1,A2,Jump-diffusion,polynomial,fixed
15,0.3,34.071398779148005,1,A2,Jump-diffusion,polynomial,fixed
16,0.32,26.167424077511626,1,A2,Jump-diffusion,polynomial,fixed
17,0.34,32.877997971531265,1,A2,Jump-diffusion,polynomial,fixed
18,0.36,33.464558497948474,1,A2,Jump-diffusion,polynomial,fixed
19,0.38,30.024686365989144,1,A2,Jump-diffusion,polynomial,fixed
20,0.4,32.555480354516476,1,A2,Jump-diffusion,polynomial,fixed
21,0.42,,1,A2,Jump-diffusion,polynomial,fixed
22,0.44,,1,A2,Jump-diffusion,polynomial,fixed
23,0.46,28.120915599227363,1,A2,Jump-diffusion,polynomial,fixed
24,0.48,23.797772404605027,1,A2,Jump-diffusion,polynomial,fixed
25,0.5,23.31993747883064,1,A2,Jump-diffusion,polynomial,fixed
26,0.52,22.91628346867163,1,A2,Jump-diffusion,polynomial,fixed
27,0.54,34.99774224437094,1,A2,Jump-diffusion,polynomial,fixed
28,0.56,35.006701301020726,1,A2,Jump-diffusion,polynomial,fixed
29,0.58,23.63799620116134,1,A2,Jump-diffusion,polynomial,fixed
30,0.6,23.759182968979317,1,A2,Jump-diffusion,polynomial,fixed
31,0.62,29.62113005261232,1,A2,Jump-diffusion,polynomial,fixed
32,0.64,29.728507402984317,1,A2,Jump-diffusion,polynomial,fixed
33,0.66,29.769097930892478,1,A2,Jump-diffusion,polynomial,fixed
34,0.68,28.194639548853488,1,A2,Jump-diffusion,polynomial,fixed
35,0.7000000000000001,34.082365903879285,1,A2,Jump-diffusion,polynomial,fixed
36,0.72,35.31494398024941,1,A2,Jump-diffusion,polynomial,fixed
37,0.74,19.33705504249095,1,A2,Jump-diffusion,polynomial,fixed
38,0.76,18.121226341637268,1,A2,Jump-diffusion,polynomial,fixed
39,0.78,17.606696872938294,1,A2,Jump-diffusion,polynomial,fixed
40,0.8,17.89030377575188,1,A2,Jump-diffusion,polynomial,fixed
41,0.8200000000000001,34.67196792750499,1,A2,Jump-diffusion,polynomial,fixed
42,0.84,21.828676520319295,1,A2,Jump-diffusion,polynomial,fixed
43,0.86,21.627341352254916,1,A2,Jump-diffusion,polynomial,fixed
44,0.88,21.36385973754544,1,A2,Jump-diffusion,polynomial,fixed
45,0.9,23.60165536132385,1,A2,Jump-diffusion,polynomial,fixed
46,0.92,18.003618433870024,1,A2,Jump-diffusion,polynomial,fixed
47,0.9400000000000001,21.19033388436551,1,A2,Jump-diffusion,polynomial,fixed
48,0.96,22.022464242485853,1,A2,Jump-diffusion,polynomial,fixed
49,0.98,17.815515490189824,1,A2,Jump-diffusion,polynomial,fixed
1,0.02,36.994715411184146,1,B2_fixed,Jump-diffusion,lowess,fixed
2,0.04,30.237738694914782,1,B2_fixed,Jump-diffusion,lowess,fixed
3,0.06,26.985821537040056,1,B2_fixed,Jump-diffusion,lowess,fixed
4,0.08,27.175750078892104,1,B2_fixed,Jump-diffusion,lowess,fixed
5,0.1,34.845201001767755,1,B2_fixed,Jump-diffusion,lowess,fixed
6,0.12,34.82351746689033,1,B2_fixed,Jump-diffusion,lowess,fixed
7,0.14,30.988071132013182,1,B2_fixed,Jump-diffusion,lowess,fixed
8,0.16,26.940547189327983,1,B2_fixed,Jump-diffusion,lowess,fixed
9,0.18,33.49529280257604,1,B2_fixed,Jump-diffusion,lowess,fixed
10,0.2,33.21470515276057,1,B2_fixed,Jump-diffusion,lowess,fixed
11,0.22,31.238624703147334,1,B2_fixed,Jump-diffusion,lowess,fixed
12,0.24,28.792892013647073,1,B2_fixed,Jump-diffusion,lowess,fixed
13,0.26,28.177341183754827,1,B2_fixed,Jump-diffusion,lowess,fixed
14,0.28,30.679094944072357,1,B2_fixed,Jump-diffusion,lowess,fixed
15,0.3,32.051999368775924,1,B2_fixed,Jump-diffusion,lowess,fixed
16,0.32,,1,B2_fixed,Jump-diffusion,lowess,fixed
17,0.34,29.232459725861467,1,B2_fixed,Jump-diffusion,lowess,fixed
18,0.36,30.427835638589006,1,B2_fixed,Jump-diffusion,lowess,fixed
19,0.38,26.88093340953074,1,B2_fixed,Jump-diffusion,lowess,fixed
20,0.4,30.49812360180404,1,B2_fixed,Jump-diffusion,lowess,fixed
21,0.42,31.45900315659467,1,B2_fixed,Jump-diffusion,lowess,fixed
22,0.44,31.571352925942353,1,B2_fixed,Jump-diffusion,lowess,fixed
23,0.46,28.120915599227363,1,B2_fixed,Jump-diffusion,lowess,fixed
24,0.48,33.360956698664985,1,B2_fixed,Jump-diffusion,lowess,fixed
25,0.5,29.88966753107749,1,B2_fixed,Jump-diffusion,lowess,fixed
26,0.52,27.3774891058174,1,B2_fixed,Jump-diffusion,lowess,fixed
27,0.54,25.16440039851494,1,B2_fixed,Jump-diffusion,lowess,fixed
28,0.56,26.665821157654246,1,B2_fixed,Jump-diffusion,lowess,fixed
29,0.58,26.468970572071623,1,B2_fixed,Jump-diffusion,lowess,fixed
30,0.6,21.6772490572227,1,B2_fixed,Jump-diffusion,lowess,fixed
31,0.62,30.306618075838486,1,B2_fixed,Jump-diffusion,lowess,fixed
32,0.64,29.229643601577926,1,B2_fixed,Jump-diffusion,lowess,fixed
33,0.66,27.358516195196795,1,B2_fixed,Jump-diffusion,lowess,fixed
34,0.68,28.287927024809715,1,B2_fixed,Jump-diffusion,lowess,fixed
35,0.7000000000000001,20.632063948966728,1,B2_fixed,Jump-diffusion,lowess,fixed
36,0.72,26.63679544596847,1,B2_fixed,Jump-diffusion,lowess,fixed
37,0.74,28.790875546257176,1,B2_fixed,Jump-diffusion,lowess,fixed
38,0.76,29.00775890858662,1,B2_fixed,Jump-diffusion,lowess,fixed
39,0.78,31.541874169773322,1,B2_fixed,Jump-diffusion,lowess,fixed
40,0.8,31.790592179485078,1,B2_fixed,Jump-diffusion,lowess,fixed
41,0.8200000000000001,27.6688993348912,1,B2_fixed,Jump-diffusion,lowess,fixed
42,0.84,24.056946956743648,1,B2_fixed,Jump-diffusion,lowess,fixed
43,0.86,24.60319035864293,1,B2_fixed,Jump-diffusion,lowess,fixed
44,0.88,26.751950859109375,1,B2_fixed,Jump-diffusion,lowess,fixed
45,0.9,23.60165536132385,1,B2_fixed,Jump-diffusion,lowess,fixed
46,0.92,24.07420561866777,1,B2_fixed,Jump-diffusion,lowess,fixed
47,0.9400000000000001,24.683693524321836,1,B2_fixed,Jump-diffusion,lowess,fixed
48,0.96,28.8921432349074,1,B2_fixed,Jump-diffusion,lowess,fixed
49,0.98,26.18396091620796,1,B2_fixed,Jump-diffusion,lowess,fixed
1,0.02,37.24105350760448,1,B2_cv,Jump-diffusion,lowess,cv
2,0.04,30.237738694914782,1,B2_cv,Jump-diffusion,lowess,cv
3,0.06,26.985821537040056,1,B2_cv,Jump-diffusion,lowess,cv
4,0.08,27.175750078892104,1,B2_cv,Jump-diffusion,lowess,cv
5,0.1,34.38516603419591,1,B2_cv,Jump-diffusion,lowess,cv
6,0.12,27.56271105401587,1,B2_cv,Jump-diffusion,lowess,cv
7,0.14,,1,B2_cv,Jump-diffusion,lowess,cv
8,0.16,26.940547189327983,1,B2_cv,Jump-diffusion,lowess,cv
9,0.18,34.786913756424674,1,B2_cv,Jump-diffusion,lowess,cv
10,0.2,33.21470515276057,1,B2_cv,Jump-diffusion,lowess,cv
11,0.22,31.601845346786888,1,B2_cv,Jump-diffusion,lowess,cv
12,0.24,28.792892013647073,1,B2_cv,Jump-diffusion,lowess,cv
13,0.26,29.80490796701516,1,B2_cv,Jump-diffusion,lowess,cv
14,0.28,32.11497958187152,1,B2_cv,Jump-diffusion,lowess,cv
15,0.3,32.73890496348343,1,B2_cv,Jump-diffusion,lowess,cv
16,0.32,32.17871893091293,1,B2_cv,Jump-diffusion,lowess,cv
17,0.34,28.935728342056883,1,B2_cv,Jump-diffusion,lowess,cv
18,0.36,,1,B2_cv,Jump-diffusion,lowess,cv
19,0.38,30.453754836978728,1,B2_cv,Jump-diffusion,lowess,cv
20,0.4,30.978796578648193,1,B2_cv,Jump-diffusion,lowess,cv
21,0.42,,1,B2_cv,Jump-diffusion,lowess,cv
22,0.44,,1,B2_cv,Jump-diffusion,lowess,cv
23,0.46,27.758900295870248,1,B2_cv,Jump-diffusion,lowess,cv
24,0.48,,1,B2_cv,Jump-diffusion,lowess,cv
25,0.5,27.651868086768545,1,B2_cv,Jump-diffusion,lowess,cv
26,0.52,27.3774891058174,1,B2_cv,Jump-diffusion,lowess,cv
27,0.54,25.16440039851494,1,B2_cv,Jump-diffusion,lowess,cv
28,0.56,25.76604840769828,1,B2_cv,Jump-diffusion,lowess,cv
29,0.58,26.468970572071623,1,B2_cv,Jump-diffusion,lowess,cv
30,0.6,21.6772490572227,1,B2_cv,Jump-diffusion,lowess,cv
31,0.62,30.306618075838486,1,B2_cv,Jump-diffusion,lowess,cv
32,0.64,29.17284983120699,1,B2_cv,Jump-diffusion,lowess,cv
33,0.66,27.358516195196795,1,B2_cv,Jump-diffusion,lowess,cv
34,0.68,28.194639548853488,1,B2_cv,Jump-diffusion,lowess,cv
35,0.7000000000000001,20.632063948966728,1,B2_cv,Jump-diffusion,lowess,cv
36,0.72,26.298100930700016,1,B2_cv,Jump-diffusion,lowess,cv
37,0.74,28.94248705180159,1,B2_cv,Jump-diffusion,lowess,cv
38,0.76,28.755934098539548,1,B2_cv,Jump-diffusion,lowess,cv
39,0.78,31.541874169773322,1,B2_cv,Jump-diffusion,lowess,cv
40,0.8,31.790592179485078,1,B2_cv,Jump-diffusion,lowess,cv
41,0.8200000000000001,27.6688993348912,1,B2_cv,Jump-diffusion,lowess,cv
42,0.84,24.056946956743648,1,B2_cv,Jump-diffusion,lowess,cv
43,0.86,24.60319035864293,1,B2_cv,Jump-diffusion,lowess,cv
44,0.88,26.751950859109375,1,B2_cv,Jump-diffusion,lowess,cv
45,0.9,23.60165536132385,1,B2_cv,Jump-diffusion,lowess,cv
46,0.92,24.07420561866777,1,B2_cv,Jump-diffusion,lowess,cv
47,0.9400000000000001,24.683693524321836,1,B2_cv,Jump-diffusion,lowess,cv
48,0.96,28.8921432349074,1,B2_cv,Jump-diffusion,lowess,cv
49,0.98,26.18396091620796,1,B2_cv,Jump-diffusion,lowess,cv
1,0.02,,2,A1,GBM,polynomial,fixed
2,0.04,35.93274106577245,2,A1,GBM,polynomial,fixed
3,0.06,34.6235736880874,2,A1,GBM,polynomial,fixed
4,0.08,33.64615683696868,2,A1,GBM,polynomial,fixed
5,0.1,32.550050931850336,2,A1,GBM,polynomial,fixed
6,0.12,34.24933063471997,2,A1,GBM,polynomial,fixed
7,0.14,33.306302535769774,2,A1,GBM,polynomial,fixed
8,0.16,31.55784910912497,2,A1,GBM,polynomial,fixed
9,0.18,34.7913230543765,2,A1,GBM,polynomial,fixed
10,0.2,31.18658040675206,2,A1,GBM,polynomial,fixed
11,0.22,34.69986807724181,2,A1,GBM,polynomial,fixed
12,0.24,32.05060876168076,2,A1,GBM,polynomial,fixed
13,0.26,29.036460052156322,2,A1,GBM,polynomial,fixed
14,0.28,31.39516259737555,2,A1,GBM,polynomial,fixed
15,0.3,30.62101036518831,2,A1,GBM,polynomial,fixed
16,0.32,,2,A1,GBM,polynomial,fixed
17,0.34,28.194941255872532,2,A1,GBM,polynomial,fixed
18,0.36,28.273058859527723,2,A1,GBM,polynomial,fixed
19,0.38,29.777879468785603,2,A1,GBM,polynomial,fixed
20,0.4,,2,A1,GBM,polynomial,fixed
21,0.42,,2,A1,GBM,polynomial,fixed
22,0.44,,2,A1,GBM,polynomial,fixed
23,0.46,27.529082110805337,2,A1,GBM,polynomial,fixed
24,0.48,,2,A1,GBM,polynomial,fixed
25,0.5,,2,A1,GBM,polynomial,fixed
26,0.52,24.21213104596539,2,A1,GBM,polynomial,fixed
27,0.54,25.655687370588776,2,A1,GBM,polynomial,fixed
28,0.56,26.021742204970533,2,A1,GBM,polynomial,fixed
29,0.58,34.39278486605771,2,A1,GBM,polynomial,fixed
30,0.6,33.843051804447555,2,A1,GBM,polynomial,fixed
31,0.62,26.871923411667524,2,A1,GBM,polynomial,fixed
32,0.64,24.835755845848514,2,A1,GBM,polynomial,fixed
33,0.66,26.388477377829194,2,A1,GBM,polynomial,fixed
34,0.68,35.27696674368332,2,A1,GBM,polynomial,fixed
35,0.7000000000000001,27.102417976045842,2,A1,GBM,polynomial,fixed
36,0.72,26.17933789553578,2,A1,GBM,polynomial,fixed
37,0.74,27.50847266016688,2,A1,GBM,polynomial,fixed
38,0.76,35.30500997977873,2,A1,GBM,polynomial,fixed
39,0.78,23.830999738553835,2,A1,GBM,polynomial,fixed
40,0.8,27.594791248358007,2,A1,GBM,polynomial,fixed
41,0.8200000000000001,24.154851192870552,2,A1,GBM,polynomial,fixed
42,0.84,25.041240051367406,2,A1,GBM,polynomial,fixed
43,0.86,27.72119695363864,2,A1,GBM,polynomial,fixed
44,0.88,25.87490824788465,2,A1,GBM,polynomial,fixed
45,0.9,24.998849618816596,2,A1,GBM,polynomial,fixed
46,0.92,22.488192831990848,2,A1,GBM,polynomial,fixed
47,0.9400000000000001,25.999837798337246,2,A1,GBM,polynomial,fixed
48,0.96,27.186841952199558,2,A1,GBM,polynomial,fixed
49,0.98,28.729476052050046,2,A1,GBM,polynomial,fixed
1,0.02,23.680255364319777,2,A2,Jump-diffusion,polynomial,fixed
2,0.04,,2,A2,Jump-diffusion,polynomial,fixed
3,0.06,23.905843348619044,2,A2,Jump-diffusion,polynomial,fixed
4,0.08,24.055411162609833,2,A2,Jump-diffusion,polynomial,fixed
5,0.1,27.74413757553154,2,A2,Jump-diffusion,polynomial,fixed
6,0.12,26.611403070943272,2,A2,Jump-diffusion,polynomial,fixed
7,0.14,32.36922205093385,2,A2,Jump-diffusion,polynomial,fixed
8,0.16,26.31882025228385,2,A2,Jump-diffusion,polynomial,fixed
9,0.18,26.391885062257384,2,A2,Jump-diffusion,polynomial,fixed
10,0.2,29.91820349937974,2,A2,Jump-diffusion,polynomial,fixed
11,0.22,22.870849537214784,2,A2,Jump-diffusion,polynomial,fixed
12,0.24,23.376129442357033,2,A2,Jump-diffusion,polynomial,fixed
13,0.26,29.065496139120583,2,A2,Jump-diffusion,polynomial,fixed
14,0.28,32.124330438425886,2,A2,Jump-diffusion,polynomial,fixed
15,0.3,23.673235109042185,2,A2,Jump-diffusion,polynomial,fixed
16,0.32,32.80020957760436,2,A2,Jump-diffusion,polynomial,fixed
17,0.34,24.150290175638276,2,A2,Jump-diffusion,polynomial,fixed
18,0.36,29.515578755168384,2,A2,Jump-diffusion,polynomial,fixed
19,0.38,33.393361788180705,2,A2,Jump-diffusion,polynomial,fixed
20,0.4,22.724594810441427,2,A2,Jump-diffusion,polynomial,fixed
21,0.42,22.530134339378453,2,A2,Jump-diffusion,polynomial,fixed
22,0.44,25.824582200546658,2,A2,Jump-diffusion,polynomial,fixed
23,0.46,23.554665301950795,2,A2,Jump-diffusion,polynomial,fixed
24,0.48,22.130381703552576,2,A2,Jump-diffusion,polynomial,fixed
25,0.5,22.610070785820323,2,A2,Jump-diffusion,polynomial,fixed
26,0.52,25.28285632431977,2,A2,Jump-diffusion,polynomial,fixed
27,0.54,24.74019553105137,2,A2,Jump-diffusion,polynomial,fixed
28,0.56,24.302215383299266,2,A2,Jump-diffusion,polynomial,fixed
29,0.58,28.55067699824765,2,A2,Jump-diffusion,polynomial,fixed
30,0.6,35.1216854735986,2,A2,Jump-diffusion,polynomial,fixed
31,0.62,24.090210643933634,2,A2,Jump-diffusion,polynomial,fixed
32,0.64,23.590989268089245,2,A2,Jump-diffusion,polynomial,fixed
33,0.66,25.045570871697773,2,A2,Jump-diffusion,polynomial,fixed
34,0.68,25.313188701212468,2,A2,Jump-diffusion,polynomial,fixed
35,0.7000000000000001,23.798299117521882,2,A2,Jump-diffusion,polynomial,fixed
36,0.72,25.904428949569112,2,A2,Jump-diffusion,polynomial,fixed
37,0.74,25.764177265454048,2,A2,Jump-diffusion,polynomial,fixed
38,0.76,34.700210817254586,2,A2,Jump-diffusion,polynomial,fixed
39,0.78,21.099605074873082,2,A2,Jump-diffusion,polynomial,fixed
40,0.8,22.980809152870147,2,A2,Jump-diffusion,polynomial,fixed
41,0.8200000000000001,22.911017061434812,2,A2,Jump-diffusion,polynomial,fixed
42,0.84,22.765008988437717,2,A2,Jump-diffusion,polynomial,fixed
43,0.86,23.404737882200862,2,A2,Jump-diffusion,polynomial,fixed
44,0.88,24.839373833955317,2,A2,Jump-diffusion,polynomial,fixed
45,0.9,24.425233405477645,2,A2,Jump-diffusion,polynomial,fixed
46,0.92,26.19208974789075,2,A2,Jump-diffusion,polynomial,fixed
47,0.9400000000000001,25.50130738836711,2,A2,Jump-diffusion,polynomial,fixed
48,0.96,26.428532018416917,2,A2,Jump-diffusion,polynomial,fixed
49,0.98,27.657484967455723,2,A2,Jump-diffusion,polynomial,fixed
1,0.02,23.680255364319777,2,B2_fixed,Jump-diffusion,lowess,fixed
2,0.04,,2,B2_fixed,Jump-diffusion,lowess,fixed
3,0.06,,2,B2_fixed,Jump-diffusion,lowess,fixed
4,0.08,,2,B2_fixed,Jump-diffusion,lowess,fixed
5,0.1,27.74413757553154,2,B2_fixed,Jump-diffusion,lowess,fixed
6,0.12,32.927870117689594,2,B2_fixed,Jump-diffusion,lowess,fixed
