scenario,model,regression,span_method,step,time,boundary_mean,boundary_sd
A1,GBM,polynomial,fixed,1,0.02,36.46493827099613,0.9939418274452845
A1,GBM,polynomial,fixed,2,0.04,35.93274106577245,
A1,GBM,polynomial,fixed,3,0.06,34.96643232020095,0.4848753275116833
A1,GBM,polynomial,fixed,4,0.08,33.39310232004379,0.5442281124848533
A1,GBM,polynomial,fixed,5,0.1,33.768206251228705,0.9698659962823075
A1,GBM,polynomial,fixed,6,0.12,33.570173556346525,0.9032158381073544
A1,GBM,polynomial,fixed,7,0.14,33.208740642572984,1.5870617655886454
A1,GBM,polynomial,fixed,8,0.16,33.154548635015146,1.1934083756248546
A1,GBM,polynomial,fixed,9,0.18,32.641201931194395,2.4275970695958042
A1,GBM,polynomial,fixed,10,0.2,31.8517214468982,1.5281407254705075
A1,GBM,polynomial,fixed,11,0.22,32.13546650326056,1.7973809132052552
A1,GBM,polynomial,fixed,12,0.24,32.05930393846607,1.80798825024326
A1,GBM,polynomial,fixed,13,0.26,30.321401960521758,1.7897174912584497
A1,GBM,polynomial,fixed,14,0.28,32.39310546920743,1.4113043438181982
A1,GBM,polynomial,fixed,15,0.3,31.42263907752431,2.190216751315074
A1,GBM,polynomial,fixed,16,0.32,30.87416734142869,1.259277900888895
A1,GBM,polynomial,fixed,17,0.34,29.416217857017607,1.7591848782968913
A1,GBM,polynomial,fixed,18,0.36,30.272295909559645,2.494049621690129
A1,GBM,polynomial,fixed,19,0.38,30.745616517413286,1.7064769698258286
A1,GBM,polynomial,fixed,20,0.4,31.087890838727,1.5385754765710853
A1,GBM,polynomial,fixed,21,0.42,30.018816578838155,1.0584924701069867
A1,GBM,polynomial,fixed,22,0.44,28.20707203781523,3.191235219812734
A1,GBM,polynomial,fixed,23,0.46,29.97612045690412,3.6561776479209014
A1,GBM,polynomial,fixed,24,0.48,30.62906921119556,2.64838810747769
A1,GBM,polynomial,fixed,25,0.5,30.39940192007137,1.3804501518134566
A1,GBM,polynomial,fixed,26,0.52,28.06318615803146,2.5459046223793207
A1,GBM,polynomial,fixed,27,0.54,26.291920468487955,1.8620342706119208
A1,GBM,polynomial,fixed,28,0.56,28.41453436469979,1.6269691732377338
A1,GBM,polynomial,fixed,29,0.58,29.78577670999523,3.0184444944508293
A1,GBM,polynomial,fixed,30,0.6,29.281349698824222,3.4181021467094426
A1,GBM,polynomial,fixed,31,0.62,27.931734006928753,3.8652905774522783
A1,GBM,polynomial,fixed,32,0.64,29.150389003607284,4.4129675394666155
A1,GBM,polynomial,fixed,33,0.66,26.78637050804963,2.313781801299628
A1,GBM,polynomial,fixed,34,0.68,28.586172260283245,5.253438028505518
A1,GBM,polynomial,fixed,35,0.7000000000000001,27.27869281486062,2.7538853364706717
A1,GBM,polynomial,fixed,36,0.72,26.578717198937007,3.455737409550378
A1,GBM,polynomial,fixed,37,0.74,27.896116701355492,1.94506202428266
A1,GBM,polynomial,fixed,38,0.76,32.26258275703172,3.028386986605367
A1,GBM,polynomial,fixed,39,0.78,26.64086981993346,3.167650090984909
A1,GBM,polynomial,fixed,40,0.8,26.52382548540259,4.450289684292203
A1,GBM,polynomial,fixed,41,0.8200000000000001,23.193996965082825,2.9979669411895413
A1,GBM,polynomial,fixed,42,0.84,26.2126910348696,5.799780806294968
A1,GBM,polynomial,fixed,43,0.86,24.390613371793986,2.5798884226244323
A1,GBM,polynomial,fixed,44,0.88,25.84423597296244,6.4869389569515565
A1,GBM,polynomial,fixed,45,0.9,24.109588939997394,0.7351055464201341
A1,GBM,polynomial,fixed,46,0.92,28.259592017298452,4.842388573527718
A1,GBM,polynomial,fixed,47,0.9400000000000001,25.829616635987303,2.81023539366544
A1,GBM,polynomial,fixed,48,0.96,24.421497205363103,2.3683014842824948
A1,GBM,polynomial,fixed,49,0.98,29.269691364239556,7.002463787453239
A2,Jump-diffusion,polynomial,fixed,1,0.02,32.379887275824615,7.538761702169336
A2,Jump-diffusion,polynomial,fixed,2,0.04,27.98993154771228,3.4130971546037667
A2,Jump-diffusion,polynomial,fixed,3,0.06,25.778062444829118,3.8195374786734932
A2,Jump-diffusion,polynomial,fixed,4,0.08,24.198584017753525,1.1873455483425281
A2,Jump-diffusion,polynomial,fixed,5,0.1,27.757400033805975,4.728806166107988
A2,Jump-diffusion,polynomial,fixed,6,0.12,28.086008737396583,1.7944247173183197
A2,Jump-diffusion,polynomial,fixed,7,0.14,27.520694840957265,3.8831710732785325
A2,Jump-diffusion,polynomial,fixed,8,0.16,28.673861026244268,4.749044494722161
A2,Jump-diffusion,polynomial,fixed,9,0.18,25.18963189891513,2.5618888331254497
A2,Jump-diffusion,polynomial,fixed,10,0.2,28.601129320261727,4.644807056524553
A2,Jump-diffusion,polynomial,fixed,11,0.22,24.924645799738784,2.6789357254888744
A2,Jump-diffusion,polynomial,fixed,12,0.24,27.200710067685872,3.2034262148287973
A2,Jump-diffusion,polynomial,fixed,13,0.26,26.788050458041187,2.93470260772158
A2,Jump-diffusion,polynomial,fixed,14,0.28,28.649886869588755,4.423985147539954
A2,Jump-diffusion,polynomial,fixed,15,0.3,29.413623859762865,4.473937993113649
A2,Jump-diffusion,polynomial,fixed,16,0.32,27.3082855058471,4.806361006251467
A2,Jump-diffusion,polynomial,fixed,17,0.34,26.815796616058147,5.009856699126188
A2,Jump-diffusion,polynomial,fixed,18,0.36,28.3578297277265,4.4985881251816
A2,Jump-diffusion,polynomial,fixed,19,0.38,31.413147979145787,1.7958812743641421
A2,Jump-diffusion,polynomial,fixed,20,0.4,28.985365237457795,4.285567786278442
A2,Jump-diffusion,polynomial,fixed,21,0.42,24.913972105287314,3.900893857014849
A2,Jump-diffusion,polynomial,fixed,22,0.44,25.45392228609158,3.9534480558573537
A2,Jump-diffusion,polynomial,fixed,23,0.46,26.69786840579393,4.949774690496755
A2,Jump-diffusion,polynomial,fixed,24,0.48,26.053048962500554,5.742645749506639
A2,Jump-diffusion,polynomial,fixed,25,0.5,27.529661021869174,4.630432865445245
A2,Jump-diffusion,polynomial,fixed,26,0.52,24.806160034786007,3.4782043773355094
A2,Jump-diffusion,polynomial,fixed,27,0.54,27.07103574035303,5.451857997631231
A2,Jump-diffusion,polynomial,fixed,28,0.56,26.882690331459195,5.767280026909237
A2,Jump-diffusion,polynomial,fixed,29,0.58,24.062527594461013,3.754926843917837
A2,Jump-diffusion,polynomial,fixed,30,0.6,26.14663512263017,5.273165605719074
A2,Jump-diffusion,polynomial,fixed,31,0.62,24.82062506056604,3.6666073855620973
A2,Jump-diffusion,polynomial,fixed,32,0.64,30.269947287420234,4.398674721155555
A2,Jump-diffusion,polynomial,fixed,33,0.66,23.556387809519432,4.008699303276161
A2,Jump-diffusion,polynomial,fixed,34,0.68,25.085907670499484,3.746177911843335
A2,Jump-diffusion,polynomial,fixed,35,0.7000000000000001,26.95138669042762,5.1927994162315505
A2,Jump-diffusion,polynomial,fixed,36,0.72,27.697155393891506,5.21941232641595
A2,Jump-diffusion,polynomial,fixed,37,0.74,24.083112456901404,5.096091260336307
A2,Jump-diffusion,polynomial,fixed,38,0.76,26.740106313537247,6.263475104252563
A2,Jump-diffusion,polynomial,fixed,39,0.78,22.46133827486677,4.238620748093913
A2,Jump-diffusion,polynomial,fixed,40,0.8,24.576956134422563,5.319605414603594
A2,Jump-diffusion,polynomial,fixed,41,0.8200000000000001,26.43779522831131,5.627673599749689
A2,Jump-diffusion,polynomial,fixed,42,0.84,21.51836840627424,1.3922607080503364
A2,Jump-diffusion,polynomial,fixed,43,0.86,23.971450849604444,3.289698805877107
A2,Jump-diffusion,polynomial,fixed,44,0.88,24.39723040662512,3.2530462496786705
A2,Jump-diffusion,polynomial,fixed,45,0.9,25.786558400943267,5.677040109061998
A2,Jump-diffusion,polynomial,fixed,46,0.92,21.816292954642073,3.940213103642918
A2,Jump-diffusion,polynomial,fixed,47,0.9400000000000001,27.78263581036804,5.390542747080912
A2,Jump-diffusion,polynomial,fixed,48,0.96,23.095131256436947,2.672166906768565
A2,Jump-diffusion,polynomial,fixed,49,0.98,24.80427737500584,7.429334922164581
B2_cv,Jump-diffusion,lowess,cv,1,0.02,32.26696550527824,7.467401864646779
B2_cv,Jump-diffusion,lowess,cv,2,0.04,30.51821757415601,2.805480563434652
B2_cv,Jump-diffusion,lowess,cv,3,0.06,29.930275156355098,2.609321854184325
B2_cv,Jump-diffusion,lowess,cv,4,0.08,27.03785206039576,2.83997871443018
B2_cv,Jump-diffusion,lowess,cv,5,0.1,28.881155846103354,4.74275663951034
B2_cv,Jump-diffusion,lowess,cv,6,0.12,29.68038596788291,3.4284361640830436
B2_cv,Jump-diffusion,lowess,cv,7,0.14,29.160533221935605,2.9713008412649744
B2_cv,Jump-diffusion,lowess,cv,8,0.16,29.662598905811162,4.278482256658243
B2_cv,Jump-diffusion,lowess,cv,9,0.18,29.930736597054743,4.236838665575263
B2_cv,Jump-diffusion,lowess,cv,10,0.2,33.66188965333403,0.6324143855940213
B2_cv,Jump-diffusion,lowess,cv,11,0.22,30.971236265085857,2.1293034032652676
B2_cv,Jump-diffusion,lowess,cv,12,0.24,30.968098842909097,2.6293259511410687
B2_cv,Jump-diffusion,lowess,cv,13,0.26,29.24341723643234,3.792555069286533
B2_cv,Jump-diffusion,lowess,cv,14,0.28,29.606622576436557,3.4230192120609515
B2_cv,Jump-diffusion,lowess,cv,15,0.3,31.182221868540452,1.4679927916061661
B2_cv,Jump-diffusion,lowess,cv,16,0.32,31.689041267305754,2.1595614824465748
B2_cv,Jump-diffusion,lowess,cv,17,0.34,31.221100652775686,3.733330529114175
B2_cv,Jump-diffusion,lowess,cv,18,0.36,28.436942689666456,5.479920225434035
B2_cv,Jump-diffusion,lowess,cv,19,0.38,30.525966842134974,2.0465687469843905
B2_cv,Jump-diffusion,lowess,cv,20,0.4,29.734438774331096,2.4172491544506847
B2_cv,Jump-diffusion,lowess,cv,21,0.42,32.02288906082235,1.4659946840565352
B2_cv,Jump-diffusion,lowess,cv,22,0.44,29.34147455416805,2.462671731859235
B2_cv,Jump-diffusion,lowess,cv,23,0.46,32.11664719308862,3.034917222553754
B2_cv,Jump-diffusion,lowess,cv,24,0.48,31.937758947047303,2.2278562723381548
B2_cv,Jump-diffusion,lowess,cv,25,0.5,29.25354462656788,4.40178157610754
B2_cv,Jump-diffusion,lowess,cv,26,0.52,30.092912836223963,1.786152523952038
B2_cv,Jump-diffusion,lowess,cv,27,0.54,28.545670133013708,3.7156531943290894
B2_cv,Jump-diffusion,lowess,cv,28,0.56,27.239009022287668,4.911043079125198
B2_cv,Jump-diffusion,lowess,cv,29,0.58,29.670915422095234,3.618857307024363
B2_cv,Jump-diffusion,lowess,cv,30,0.6,26.209891476120042,4.262773763105762
B2_cv,Jump-diffusion,lowess,cv,31,0.62,26.698125955993795,3.987697970372655
B2_cv,Jump-diffusion,lowess,cv,32,0.64,30.829747398086532,1.3681787604061757
B2_cv,Jump-diffusion,lowess,cv,33,0.66,27.204085775156997,2.2765475764558825
B2_cv,Jump-diffusion,lowess,cv,34,0.68,30.759935795883525,2.652291721362638
B2_cv,Jump-diffusion,lowess,cv,35,0.7000000000000001,25.93547598779579,5.0070499231569645
B2_cv,Jump-diffusion,lowess,cv,36,0.72,27.70178814753128,2.3998653606090183
B2_cv,Jump-diffusion,lowess,cv,37,0.74,30.020786836512066,2.329590482256613
B2_cv,Jump-diffusion,lowess,cv,38,0.76,28.8224607161512,0.5700574855831448
B2_cv,Jump-diffusion,lowess,cv,39,0.78,27.13702014900042,4.342268503690462
B2_cv,Jump-diffusion,lowess,cv,40,0.8,26.73045000180838,5.615685622181806
B2_cv,Jump-diffusion,lowess,cv,41,0.8200000000000001,29.39250437846284,1.0136340665935086
B2_cv,Jump-diffusion,lowess,cv,42,0.84,27.6647877386619,3.1853573436737586
B2_cv,Jump-diffusion,lowess,cv,43,0.86,26.22717390287354,3.235270489724853
B2_cv,Jump-diffusion,lowess,cv,44,0.88,26.65237939824093,2.328032234559908
B2_cv,Jump-diffusion,lowess,cv,45,0.9,28.482689842518276,4.739337114879104
B2_cv,Jump-diffusion,lowess,cv,46,0.92,27.45116919086841,2.6704926910087248
B2_cv,Jump-diffusion,lowess,cv,47,0.9400000000000001,30.978332505412304,5.093788950915511
B2_cv,Jump-diffusion,lowess,cv,48,0.96,27.65079930820836,3.030380514136641
B2_cv,Jump-diffusion,lowess,cv,49,0.98,29.138890894783486,4.496025904359209
B2_fixed,Jump-diffusion,lowess,fixed,1,0.02,32.18485280647146,7.38627177432065
B2_fixed,Jump-diffusion,lowess,fixed,2,0.04,31.79694005773939,1.4125489894458572
B2_fixed,Jump-diffusion,lowess,fixed,3,0.06,29.930275156355098,2.609321854184325
B2_fixed,Jump-diffusion,lowess,fixed,4,0.08,27.03785206039576,2.83997871443018
B2_fixed,Jump-diffusion,lowess,fixed,5,0.1,29.256095029030185,4.573283036825056
