replication,scenario,model,lambda,regression,span_method,fixed_lowess_frac,american_price,mc_se_within_run,european_price,early_exercise_premium
1,A1,GBM,0.0,polynomial,fixed,,2.369032735213653,0.06089874529535983,2.066401004420346,0.3026317307933071
1,A2,Jump-diffusion,0.05,polynomial,fixed,,2.4300142608865545,0.06511508231968317,2.1495933398615135,0.280420921025041
1,B2_fixed,Jump-diffusion,0.05,lowess,fixed,0.3,2.47463726603843,0.06876004703680974,2.1495933398615135,0.32504392617691646
1,B2_cv,Jump-diffusion,0.05,lowess,cv,,2.4933934678910084,0.06700825928568793,2.1495933398615135,0.3438001280294949
2,A1,GBM,0.0,polynomial,fixed,,2.4205087873209505,0.060829043728102924,2.066401004420346,0.35410778290060474
2,A2,Jump-diffusion,0.05,polynomial,fixed,,2.4772251872445583,0.06144021132185095,2.1495933398615135,0.32763184738304485
2,B2_fixed,Jump-diffusion,0.05,lowess,fixed,0.3,2.522518123068908,0.06173939573291682,2.1495933398615135,0.37292478320739475
2,B2_cv,Jump-diffusion,0.05,lowess,cv,,2.544556640913569,0.06276859425108414,2.1495933398615135,0.39496330105205546
3,A1,GBM,0.0,polynomial,fixed,,2.303430261453038,0.059083513813818975,2.066401004420346,0.23702925703269218
3,A2,Jump-diffusion,0.05,polynomial,fixed,,2.379654009667888,0.0657801012951522,2.1495933398615135,0.23006066980637474
3,B2_fixed,Jump-diffusion,0.05,lowess,fixed,0.3,2.4315391259994987,0.0652688460798849,2.1495933398615135,0.28194578613798527
3,B2_cv,Jump-diffusion,0.05,lowess,cv,,2.4672327301607977,0.06960280063583683,2.1495933398615135,0.31763939029928423
4,A1,GBM,0.0,polynomial,fixed,,2.36685323921939,0.0675760663273894,2.066401004420346,0.30045223479904415
4,A2,Jump-diffusion,0.05,polynomial,fixed,,2.428491020644623,0.06984498584857732,2.1495933398615135,0.2788976807831096
4,B2_fixed,Jump-diffusion,0.05,lowess,fixed,0.3,2.4438649277145115,0.06950724564366333,2.1495933398615135,0.294271587852998
4,B2_cv,Jump-diffusion,0.05,lowess,cv,,2.4659694293939016,0.0697339346055343,2.1495933398615135,0.31637608953238816
5,A1,GBM,0.0,polynomial,fixed,,2.2762325624908737,0.06078614470073584,2.066401004420346,0.2098315580705279
5,A2,Jump-diffusion,0.05,polynomial,fixed,,2.3390883160823086,0.06387430482635235,2.1495933398615135,0.18949497622079514
5,B2_fixed,Jump-diffusion,0.05,lowess,fixed,0.3,2.397096335869538,0.06719695558969693,2.1495933398615135,0.2475029960080244
5,B2_cv,Jump-diffusion,0.05,lowess,cv,,2.3931646024621123,0.06642198147973906,2.1495933398615135,0.2435712626005988
